4
2,10,3,4,0,9,6,8,1,14,7,12,5,13,11,15
2,10,3,4,1,9,6,8,0,14,7,12,5,13,11,15
2,10,3,4,1,9,6,8,5,14,7,12,0,13,11,15
2,10,3,4,1,9,6,8,5,14,7,12,13,0,11,15
2,10,3,4,1,9,6,8,5,0,7,12,13,14,11,15
2,10,3,4,1,0,6,8,5,9,7,12,13,14,11,15
2,0,3,4,1,10,6,8,5,9,7,12,13,14,11,15
0,2,3,4,1,10,6,8,5,9,7,12,13,14,11,15
1,2,3,4,0,10,6,8,5,9,7,12,13,14,11,15
1,2,3,4,5,10,6,8,0,9,7,12,13,14,11,15
1,2,3,4,5,10,6,8,9,0,7,12,13,14,11,15
1,2,3,4,5,0,6,8,9,10,7,12,13,14,11,15
1,2,3,4,5,6,0,8,9,10,7,12,13,14,11,15
1,2,3,4,5,6,7,8,9,10,0,12,13,14,11,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0
